gene1,gene2,GI_scores,gene1_primekgindex,gene2_primekgindex,label,cell_id
AARS2,INTS3,0.8007509557870001,1675,9271,0.0,2
AARS2,INTS5,0.4980485132419999,1675,6624,0.0,2
AARS2,KCTD10,-0.187576178061,1675,6586,0.0,2
AARS2,KDM1A,0.507230960194,1675,2144,0.0,2
AARS2,LARS2,-0.0150243501312,1675,2603,0.0,2
AARS2,LEO1,2.13949717511,1675,56947,0.0,2
AARS2,LIAS,0.59941304903,1675,35297,0.0,2
AARS2,LONP1,-0.237827097957,1675,2646,0.0,2
AARS2,MAPKAP1,-0.564799215124,1675,4004,0.0,2
AARS2,MASTL,-0.484605723331,1675,11493,0.0,2
AARS2,MAX,-0.835530456666,1675,207,0.0,2
AARS2,MBTPS2,0.206105061266,1675,12925,0.0,2
AARS2,MCM3,0.183986314369,1675,1010,0.0,2
AARS2,MCM3AP,0.59971083734,1675,5751,0.0,2
AARS2,MCM4,-1.10078045953,1675,5574,0.0,2
AARS2,MED1,-0.145214612446,1675,2718,0.0,2
AARS2,MED10,1.34887179743,1675,11824,0.0,2
AARS2,MED14,-0.106130599076,1675,2366,0.0,2
AARS2,MED17,-0.282429298184,1675,1108,0.0,2
AARS2,MED22,0.724183012571,1675,3436,0.0,2
AARS2,MED23,-0.7100036908130001,1675,6980,0.0,2
AARS2,MED24,-0.993162933357,1675,8316,0.0,2
AARS2,MED28,0.309896363842,1675,4642,0.0,2
AARS2,MED9,-0.201993680806,1675,9546,0.0,2
AARS2,METAP2,-0.653812620886,1675,3282,0.0,2
AARS2,METTL17,1.51141420623,1675,6803,0.0,2
AARS2,MFAP1,-0.401682465942,1675,435,0.0,2
AARS2,MPHOSPH6,-1.0259160927700002,1675,5635,0.0,2
AARS2,MRPL10,0.805076144365,1675,12565,0.0,2
AARS2,MRPL11,0.701798307361,1675,2299,0.0,2
AARS2,MRPL13,0.647622895625,1675,4246,0.0,2
AARS2,MRPL15,0.930850249484,1675,6459,0.0,2
AARS2,MRPL16,0.8804051493799999,1675,5845,0.0,2
AARS2,MRPL18,1.14796041731,1675,613,0.0,2
AARS2,MRPL19,2.33459507862,1675,472,0.0,2
AARS2,MRPL22,-0.191527981461,1675,5476,0.0,2
AARS2,MRPL24,0.6188509066350001,1675,9985,0.0,2
AARS2,MRPL27,1.70820116872,1675,10125,0.0,2
AARS2,MRPL3,0.8678345568320001,1675,4860,0.0,2
AARS2,MRPL32,0.954186194055,1675,9528,0.0,2
AARS2,MRPL33,1.08216561109,1675,8213,0.0,2
AARS2,MRPL35,1.05416930431,1675,7432,0.0,2
AARS2,MRPL36,1.5243642919299998,1675,56733,0.0,2
AARS2,MRPL37,0.753635739431,1675,4998,0.0,2
AARS2,MRPL39,0.631707437225,1675,1851,0.0,2
AARS2,MRPL42,1.20713179328,1675,3195,0.0,2
AARS2,MRPL43,0.612777757244,1675,10573,0.0,2
AARS2,MRPL46,1.21175866415,1675,6455,0.0,2
AARS2,MRPS10,-0.13385593045,1675,10245,0.0,2
AARS2,MRPS11,0.765024918669,1675,4592,0.0,2
AARS2,MRPS14,-0.50769211961,1675,4591,0.0,2
AARS2,MRPS16,-0.347969497877,1675,7727,0.0,2
AARS2,MRPS18A,-0.152455392916,1675,4456,0.0,2
AARS2,MRPS18B,1.9248917477400005,1675,7338,0.0,2
AARS2,MRPS21,1.05269315859,1675,5449,0.0,2
AARS2,MRPS23,0.871914310898,1675,3610,0.0,2
AARS2,MRPS25,0.488894380076,1675,9876,0.0,2
AARS2,MRPS27,1.13861036985,1675,1584,0.0,2
AARS2,MRPS30,0.817907637652,1675,824,0.0,2
AARS2,MRPS35,0.8718163194059999,1675,7502,0.0,2
AARS2,MRPS5,1.04630485046,1675,10162,0.0,2
AARS2,MRPS9,0.922161888262,1675,2642,0.0,2
AARS2,MTBP,-0.315915394101,1675,33978,0.0,2
AARS2,MTHFD2,0.245762463808,1675,10124,0.0,2
AARS2,MTOR,0.0803015352395,1675,1558,0.0,2
AARS2,MTPAP,0.398083340895,1675,11452,0.0,2
AARS2,MZT1,-0.60059974348,1675,9531,0.0,2
AARS2,NAA25,0.1100854355709999,1675,13364,0.0,2
AARS2,NACA,0.603143707007,1675,446,0.0,2
AARS2,NAMPT,-0.985263963135,1675,5310,0.0,2
AARS2,NAT10,-0.1741896086719999,1675,8756,0.0,2
AARS2,NCAPD2,-0.5882155303509999,1675,4828,0.0,2
AARS2,NCBP1,-0.623028776517,1675,3184,0.0,2
AARS2,NDUFA2,-0.450285810902,1675,2854,0.0,2
AARS2,NDUFA8,0.657973357958,1675,210,0.0,2
AARS2,NDUFA9,2.22466068811,1675,4991,0.0,2
AARS2,NDUFB1,0.702008574215,1675,811,0.0,2
AARS2,NDUFB2,1.14485519192,1675,11197,0.0,2
AARS2,NDUFB4,0.584535064782,1675,6893,0.0,2
AARS2,NEMF,-0.2737064245,1675,11329,0.0,2
AARS2,NFYC,-0.158313409095,1675,1273,0.0,2
AARS2,NIP7,0.655741710852,1675,11758,0.0,2
AARS2,NOC2L,-0.117711302234,1675,4208,0.0,2
AARS2,NOL10,0.914258127093,1675,58302,0.0,2
AARS2,NOL9,-0.479390237578,1675,11059,0.0,2
AARS2,NOLC1,0.0722756262073,1675,7785,0.0,2
AARS2,NOP58,0.3812483209139999,1675,11321,0.0,2
AARS2,NUDC,0.980744583961,1675,31,0.0,2
AARS2,NUP43,0.161311387591,1675,57389,0.0,2
AARS2,NUP54,0.262610497122,1675,5142,0.0,2
AARS2,NUP85,-0.231609175225,1675,9071,0.0,2
AARS2,OGFOD1,1.5935013775600002,1675,9412,0.0,2
AARS2,OPA1,-0.532769745793,1675,7862,0.0,2
AARS2,PAXBP1,0.131010336117,1675,4132,0.0,2
AARS2,PDCD7,0.517534686342,1675,8992,0.0,2
AARS2,PDRG1,0.7231822231049999,1675,11691,0.0,2
AARS2,PDSS2,0.4374468847469999,1675,8709,0.0,2
AARS2,PFAS,0.240512208578,1675,4569,0.0,2
AARS2,PGD,-0.6269713736779999,1675,5017,0.0,2
AARS2,PGK1,-1.04498180903,1675,5281,0.0,2
AARS2,PITRM1,0.118111953609,1675,10806,0.0,2
AARS2,PMF1,-0.152108516185,1675,4223,0.0,2
AARS2,PNISR,-1.11486287664,1675,11869,0.0,2
AARS2,PNN,-0.682724489752,1675,2735,0.0,2
