cell_name,nodea_name,nodeb_name,nodea_primekgid,nodeb_primekgid,label,cell_id
A375,CCDC77,NAE1,3341,5209,1.0,0
A375,MTARC2,NAE1,12882,5209,1.0,0
A375,AEBP2,NAE1,13225,5209,1.0,0
A375,CCNE2,NAE1,8662,5209,1.0,0
A375,AP3D1,NAE1,9529,5209,1.0,0
A375,MX1,NAE1,6990,5209,1.0,0
A375,HTATIP2,NAE1,4636,5209,1.0,0
A375,CD70,NAE1,2832,5209,1.0,0
A375,DAXX,NAE1,726,5209,1.0,0
A375,FANCA,NAE1,339,5209,1.0,0
A375,MUS81,NAE1,3993,5209,1.0,0
A375,DET1,NAE1,8863,5209,1.0,0
A375,CDC25A,NAE1,6823,5209,1.0,0
A375,COMMD2,NAE1,9564,5209,1.0,0
A375,ATAD2B,NAE1,57861,5209,1.0,0
A375,HTR1E,NAE1,3447,5209,1.0,0
A375,ANAPC1,NAE1,7490,5209,1.0,0
A375,C1orf159,NAE1,12053,5209,1.0,0
A375,AVEN,NAE1,34873,5209,1.0,0
A375,BCL2A1,NAE1,5631,5209,1.0,0
A375,FKBP3,NAE1,5983,5209,1.0,0
A375,LDLRAP1,NAE1,5643,5209,1.0,0
A375,COX6A2,NAE1,11742,5209,1.0,0
A375,CDC34,NAE1,2119,5209,1.0,0
A375,GPRIN2,NAE1,11118,5209,1.0,0
A375,LDOC1,NAE1,4876,5209,1.0,0
A375,ASCC1,NAE1,5267,5209,1.0,0
A375,BROX,NAE1,6076,5209,1.0,0
A375,DYDC2,NAE1,5254,5209,1.0,0
A375,EIF4EBP1,NAE1,5690,5209,1.0,0
A375,DAPL1,NAE1,56878,5209,1.0,0
A375,LYPD2,NAE1,57021,5209,1.0,0
A375,CBX4,NAE1,4972,5209,1.0,0
A375,CGREF1,NAE1,34349,5209,1.0,0
A375,BECN1,NAE1,959,5209,1.0,0
A375,DRD4,NAE1,8999,5209,1.0,0
A375,AQP1,NAE1,118,5209,1.0,0
A375,DEDD2,NAE1,57133,5209,1.0,0
A375,DAP,NAE1,11199,5209,1.0,0
A375,CD40LG,NAE1,3230,5209,1.0,0
A375,CLCN7,NAE1,37,5209,1.0,0
A375,TCEANC2,NAE1,4856,5209,1.0,0
A375,HLA-DQB1,NAE1,8277,5209,1.0,0
A375,AVPI1,NAE1,9877,5209,1.0,0
A375,ATM,NAE1,3666,5209,1.0,0
A375,AIFM3,NAE1,58080,5209,1.0,0
A375,FBXO17,NAE1,7913,5209,1.0,0
A375,LIN52,NAE1,7003,5209,1.0,0
A375,ERO1B,NAE1,12830,5209,1.0,0
A375,CUL3,NAE1,2630,5209,1.0,0
A375,FETUB,NAE1,9102,5209,1.0,0
A375,KLF5,NAE1,1183,5209,1.0,0
A375,BAG1,NAE1,3400,5209,1.0,0
A375,BTG1,NAE1,8293,5209,1.0,0
A375,ELMO2,NAE1,7403,5209,1.0,0
A375,GNG8,NAE1,22016,5209,1.0,0
A375,KRTAP19-7,NAE1,6909,5209,1.0,0
A375,CDK2,NAE1,40,5209,1.0,0
A375,MAP3K10,NAE1,4409,5209,1.0,0
A375,DDX49,NAE1,3437,5209,1.0,0
A375,E4F1,NAE1,1358,5209,1.0,0
A375,ITFG1,NAE1,5201,5209,1.0,0
A375,SMCO4,NAE1,224,5209,1.0,0
A375,DZIP1L,NAE1,8983,5209,1.0,0
A375,IQCF1,NAE1,7623,5209,1.0,0
A375,CCNA1,NAE1,3524,5209,1.0,0
A375,FASTK,NAE1,9428,5209,1.0,0
A375,BAG4,NAE1,5536,5209,1.0,0
A375,BRAF,NAE1,1980,5209,1.0,0
A375,DAD1,NAE1,2136,5209,1.0,0
A375,FAM3C,NAE1,2105,5209,1.0,0
A375,MBNL1,NAE1,9847,5209,1.0,0
A375,JUND,NAE1,248,5209,1.0,0
A375,LRRC59,NAE1,7769,5209,1.0,0
A375,ADAMTS17,NAE1,34362,5209,1.0,0
A375,FOSL2,NAE1,507,5209,1.0,0
A375,SPIDR,NAE1,35213,5209,1.0,0
A375,FAM83D,NAE1,11668,5209,1.0,0
A375,BARD1,NAE1,314,5209,1.0,0
A375,IL22RA2,NAE1,59540,5209,1.0,0
A375,CD3E,NAE1,1977,5209,1.0,0
A375,IAPP,NAE1,8857,5209,1.0,0
A375,CDC42EP2,NAE1,9107,5209,1.0,0
A375,CDH11,NAE1,8437,5209,1.0,0
A375,MRFAP1,NAE1,9777,5209,1.0,0
A375,HDAC3,NAE1,851,5209,1.0,0
A375,GNG3,NAE1,1678,5209,1.0,0
A375,EIF4A2,NAE1,1333,5209,1.0,0
A375,CARD18,NAE1,34874,5209,1.0,0
A375,CASP4,NAE1,11086,5209,1.0,0
A375,C2CD4B,NAE1,34753,5209,1.0,0
A375,DMC1,NAE1,5423,5209,1.0,0
A375,MYC,NAE1,25,5209,1.0,0
A375,LIG3,NAE1,6628,5209,1.0,0
A375,KCTD20,NAE1,60704,5209,1.0,0
A375,AKTIP,NAE1,6866,5209,1.0,0
A375,GPR132,NAE1,9445,5209,1.0,0
A375,CDC6,NAE1,4944,5209,1.0,0
A375,CARD9,NAE1,3460,5209,1.0,0
A375,BRIP1,NAE1,6809,5209,1.0,0
A375,DVL2,NAE1,191,5209,1.0,0
A375,IL2RA,NAE1,7059,5209,1.0,0
A375,GAGE12I,NAE1,11191,5209,1.0,0
A375,KLHL33,NAE1,77508,5209,1.0,0
A375,AURKB,NAE1,1814,5209,1.0,0
A375,ATP6V0D2,NAE1,12231,5209,1.0,0
A375,HUS1,NAE1,6965,5209,1.0,0
A375,AFAP1,NAE1,3037,5209,1.0,0
A375,CIDEB,NAE1,1225,5209,1.0,0
A375,BMF,NAE1,11979,5209,1.0,0
A375,DLGAP1,NAE1,9269,5209,1.0,0
A375,MGST2,NAE1,4958,5209,1.0,0
A375,DHX15,NAE1,3758,5209,1.0,0
A375,CDKN1A,NAE1,1168,5209,1.0,0
A375,DOK6,NAE1,57199,5209,1.0,0
A375,HTRA2,NAE1,3614,5209,1.0,0
A375,AS3MT,NAE1,34047,5209,1.0,0
A375,CCNB2,NAE1,5918,5209,1.0,0
A375,MARCHF6,NAE1,5464,5209,1.0,0
A375,BBC3,NAE1,12669,5209,1.0,0
A375,LHFPL5,NAE1,2235,5209,1.0,0
A375,CDC20B,NAE1,9642,5209,1.0,0
A375,MOCS3,NAE1,10182,5209,1.0,0
A375,BFAR,NAE1,3547,5209,1.0,0
A375,MAPK1,MAPK3,418,866,1.0,0
A375,MAPK1,NAE1,418,5209,1.0,0
A375,CCDC115,NAE1,4311,5209,1.0,0
A375,ASF1A,NAE1,10617,5209,1.0,0
A375,GDNF,NAE1,1012,5209,1.0,0
A375,LTBR,NAE1,4074,5209,1.0,0
A375,MIOS,NAE1,4627,5209,1.0,0
A375,KPTN,NAE1,7217,5209,1.0,0
A375,BIRC3,NAE1,1236,5209,1.0,0
A375,ALDH3A1,NAE1,3829,5209,1.0,0
A375,ADAM21,NAE1,7426,5209,1.0,0
A375,ABL2,NAE1,3364,5209,1.0,0
A375,LCN2,NAE1,1037,5209,1.0,0
A375,CSNK2A2,NAE1,1829,5209,1.0,0
A375,GRHL3,NAE1,4164,5209,1.0,0
A375,DAP3,NAE1,4723,5209,1.0,0
A375,FBXO5,NAE1,7325,5209,1.0,0
A375,CDK11A,NAE1,10913,5209,1.0,0
A375,GZMM,NAE1,3440,5209,1.0,0
A375,ADRA1A,NAE1,1659,5209,1.0,0
A375,MTPN,NAE1,34256,5209,1.0,0
A375,MYBL1,NAE1,8879,5209,1.0,0
A375,ATOX1,NAE1,8223,5209,1.0,0
A375,LMNTD1,NAE1,33950,5209,1.0,0
A375,CFLAR,NAE1,6883,5209,1.0,0
A375,BCAP31,NAE1,2129,5209,1.0,0
A375,IL10,NAE1,2983,5209,1.0,0
A375,SCAI,NAE1,57319,5209,1.0,0
A375,BOK,NAE1,6030,5209,1.0,0
A375,BIRC7,NAE1,5186,5209,1.0,0
A375,MZB1,NAE1,13369,5209,1.0,0
A375,GCLM,NAE1,5871,5209,1.0,0
A375,AATF,NAE1,9555,5209,1.0,0
A375,MED21,NAE1,2954,5209,1.0,0
A375,ATG3,NAE1,6615,5209,1.0,0
A375,ALDH5A1,NAE1,11797,5209,1.0,0
A375,ESPL1,NAE1,3692,5209,1.0,0
A375,HDAC11,NAE1,12342,5209,1.0,0
A375,MED6,NAE1,2051,5209,1.0,0
A375,HMOX1,NAE1,3192,5209,1.0,0
A375,ADPRS,NAE1,12468,5209,1.0,0
A375,CHMP4A,NAE1,1664,5209,1.0,0
A375,GULP1,NAE1,12683,5209,1.0,0
A375,ME1,NAE1,10745,5209,1.0,0
A375,GLRX5,NAE1,4244,5209,1.0,0
A375,CHAF1A,NAE1,2728,5209,1.0,0
A375,LRCH4,NAE1,2896,5209,1.0,0
A375,CHUK,NAE1,2305,5209,1.0,0
A375,CMAS,NAE1,12732,5209,1.0,0
A375,FAHD2A,NAE1,12006,5209,1.0,0
A375,BIRC6,NAE1,10760,5209,1.0,0
A375,HSF1,NAE1,3120,5209,1.0,0
A375,GPR37L1,NAE1,4381,5209,1.0,0
A375,AHSA1,NAE1,9378,5209,1.0,0
A375,CD40,NAE1,5098,5209,1.0,0
A375,ATG5,NAE1,1322,5209,1.0,0
A375,PWWP3A,NAE1,9426,5209,1.0,0
A375,MRPS10,NAE1,10245,5209,1.0,0
A375,BAG5,NAE1,2296,5209,1.0,0
A375,EPC1,NAE1,10168,5209,1.0,0
A375,LCP1,NAE1,6777,5209,1.0,0
A375,EIF5A,NAE1,6297,5209,1.0,0
A375,CASP7,NAE1,6201,5209,1.0,0
A375,CARD6,NAE1,56826,5209,1.0,0
A375,ITGAX,NAE1,9557,5209,1.0,0
A375,APOBR,NAE1,59709,5209,1.0,0
A375,DOCK1,NAE1,2992,5209,1.0,0
A375,ARHGEF6,NAE1,7114,5209,1.0,0
A375,EIF3G,NAE1,2457,5209,1.0,0
A375,ACADL,NAE1,8505,5209,1.0,0
A375,GPX4,NAE1,1188,5209,1.0,0
A375,ITM2C,NAE1,10447,5209,1.0,0
A375,CACNG6,NAE1,59524,5209,1.0,0
A375,CLPTM1,NAE1,1862,5209,1.0,0
A375,AGTR2,NAE1,9904,5209,1.0,0
A375,GADD45B,NAE1,4031,5209,1.0,0
A375,LRRC57,NAE1,60055,5209,1.0,0
A375,ADORA2A,NAE1,4969,5209,1.0,0
A375,H3C10,NAE1,2649,5209,1.0,0
A375,IKBKG,NAE1,3672,5209,1.0,0
A375,GJA9,NAE1,59687,5209,1.0,0
A375,BNIP1,NAE1,4445,5209,1.0,0
A375,DEDD,NAE1,5497,5209,1.0,0
A375,LY86,NAE1,4432,5209,1.0,0
A375,LZTS2,NAE1,380,5209,1.0,0
A375,JUNB,NAE1,2046,5209,1.0,0
A375,IZUMO2,NAE1,60384,5209,1.0,0
A375,DUSP6,NAE1,5227,5209,1.0,0
A375,BRCA1,NAE1,554,5209,1.0,0
A375,MAP2K1,PARP1,1831,568,1.0,0
A375,MAP2K1,WEE1,1831,3249,1.0,0
A375,CDR2L,NAE1,5192,5209,1.0,0
A375,CCN2,NAE1,151,5209,1.0,0
A375,MAPK8IP3,NAE1,7994,5209,1.0,0
A375,EIF4A1,NAE1,2929,5209,1.0,0
A375,BCAP29,NAE1,60312,5209,1.0,0
A375,CDC42EP1,NAE1,9802,5209,1.0,0
A375,HSPA14,NAE1,6014,5209,1.0,0
A375,EDAR,NAE1,13739,5209,1.0,0
A375,INHBA,NAE1,6885,5209,1.0,0
A375,ATP6V1H,NAE1,8296,5209,1.0,0
A375,RALGAPA1,NAE1,21970,5209,1.0,0
A375,MYBL2,NAE1,3369,5209,1.0,0
A375,GZMH,NAE1,10296,5209,1.0,0
A375,ACAD9,NAE1,2767,5209,1.0,0
A375,C3orf33,NAE1,57308,5209,1.0,0
A375,GML,NAE1,7520,5209,1.0,0
A375,APOH,NAE1,4549,5209,1.0,0
A375,ELMO3,NAE1,10177,5209,1.0,0
A375,EXO1,NAE1,9488,5209,1.0,0
A375,MYO9B,NAE1,3562,5209,1.0,0
A375,CARD11,NAE1,34610,5209,1.0,0
A375,DUSP9,NAE1,6189,5209,1.0,0
A375,GABARAPL2,NAE1,7695,5209,1.0,0
A375,DFFA,NAE1,4405,5209,1.0,0
A375,BLM,NAE1,4288,5209,1.0,0
A375,KLHDC2,NAE1,8424,5209,1.0,0
A375,MED28,NAE1,4642,5209,1.0,0
A375,MORN5,NAE1,57237,5209,1.0,0
A375,FBXO44,NAE1,8146,5209,1.0,0
A375,GJC3,NAE1,9223,5209,1.0,0
A375,CD14,NAE1,4086,5209,1.0,0
A375,EIF2A,NAE1,10463,5209,1.0,0
A375,GLUD1,NAE1,5340,5209,1.0,0
A375,ATG10,NAE1,5108,5209,1.0,0
A375,BIK,NAE1,425,5209,1.0,0
A375,ERCC4,NAE1,4752,5209,1.0,0
A375,IL2,NAE1,2617,5209,1.0,0
A375,PTRHD1,NAE1,57466,5209,1.0,0
A375,FAU,NAE1,1612,5209,1.0,0
A375,DONSON,NAE1,34417,5209,1.0,0
A375,CASP3,NAE1,2712,5209,1.0,0
A375,GPHN,NAE1,6691,5209,1.0,0
A375,F2R,NAE1,3489,5209,1.0,0
A375,EME1,NAE1,12918,5209,1.0,0
A375,AHNAK,NAE1,2034,5209,1.0,0
A375,FOXO3,NAE1,1479,5209,1.0,0
A375,DTWD2,NAE1,59903,5209,1.0,0
A375,DNASE1,NAE1,22062,5209,1.0,0
A375,CHRNA1,NAE1,5965,5209,1.0,0
A375,CDKN2A,NAE1,236,5209,1.0,0
A375,IL18,NAE1,3552,5209,1.0,0
A375,GAS2L2,NAE1,12948,5209,1.0,0
A375,CASC1,NAE1,33947,5209,1.0,0
A375,MNAT1,NAE1,3681,5209,1.0,0
A375,ATG9A,NAE1,488,5209,1.0,0
A375,KBTBD4,NAE1,13415,5209,1.0,0
A375,CDCP2,NAE1,60139,5209,1.0,0
A375,APOB,NAE1,790,5209,1.0,0
A375,ARHGAP36,NAE1,58552,5209,1.0,0
A375,CCS,NAE1,10234,5209,1.0,0
A375,BCL10,NAE1,9436,5209,1.0,0
A375,CCDC66,NAE1,57309,5209,1.0,0
A375,HK2,NAE1,8798,5209,1.0,0
A375,ADGRL2,NAE1,1716,5209,1.0,0
A375,GINS2,NAE1,6746,5209,1.0,0
A375,HRK,NAE1,56573,5209,1.0,0
A375,GPN1,NAE1,3869,5209,1.0,0
