gene_1,gene_2,cell_line_origin,horlbeck_score_SL_score,gene1_primekg_index,gene2_primekg_index,label,cell_id
BNIP3,PMAIP1,A549,0.004161952,1310,1929,0,1
BNIP3L,BOK,A549,0.00192805,7262,6030,0,1
BNIP3L,HRK,A549,0.004100348,7262,56573,0,1
BNIP3L,PMAIP1,A549,-0.007240823,7262,1929,0,1
BOK,HRK,A549,0.003126324,6030,56573,0,1
BOK,PMAIP1,A549,-0.002753553,6030,1929,0,1
HRK,PMAIP1,A549,0.009805284,56573,1929,0,1
BCKDHB,PDHB,A549,4.34e-05,7106,2936,0,1
BCL2,BCL2A1,A549,0.006472247,2429,5631,0,1
BCL2,BCL2L1,A549,0.002057302,2429,4323,0,1
BCL2,BCL2L10,A549,0.003314734,2429,9633,0,1
BCL2,BCL2L2,A549,-0.002578395,2429,536,0,1
BCL2,MCL1,A549,0.002728013,2429,400,0,1
BCL2A1,BCL2L1,A549,0.005476193,5631,4323,0,1
BCL2A1,BCL2L10,A549,-0.001469633,5631,9633,0,1
BCL2A1,BCL2L2,A549,0.011538073,5631,536,0,1
BCL2A1,MCL1,A549,0.008214435,5631,400,0,1
BCL2L1,BCL2L10,A549,0.002928905,4323,9633,0,1
BCL2L1,BCL2L2,A549,-0.007304193,4323,536,0,1
BCL2L1,MCL1,A549,-0.031732347,4323,400,0,1
BCL2L10,BCL2L2,A549,-0.003391855,9633,536,0,1
BCL2L10,MCL1,A549,-0.005493242,9633,400,0,1
BCL2L2,MCL1,A549,0.012333524,536,400,0,1
BIRC2,BIRC3,A549,-0.024958021,2131,1236,0,1
BIRC2,BIRC7,A549,0.005232528,2131,5186,0,1
BIRC2,XIAP,A549,0.002689078,2131,699,0,1
BIRC3,BIRC7,A549,0.004392978,1236,5186,0,1
BIRC3,XIAP,A549,0.01376279,1236,699,0,1
LCK,SRC,A549,0.001562167,750,1170,0,1
LCK,YES1,A549,0.00691796,750,3027,0,1
SRC,YES1,A549,-0.016583247,1170,3027,0,1
BPGM,PGAM1,A549,-0.006031989,7281,6742,0,1
BPGM,PGAM2,A549,0.001564596,7281,8771,0,1
BPGM,PGAM4,A549,0.003784557,7281,57781,0,1
PGAM1,PGAM2,A549,-0.002380373,6742,8771,0,1
PGAM1,PGAM4,A549,0.005438359,6742,57781,0,1
PGAM2,PGAM4,A549,-0.000667582,8771,57781,0,1
ACAA2,ACAT1,A549,0.008015832,9420,1706,0,1
ACAA2,ACAT2,A549,-0.000491065,9420,8248,0,1
ACAT1,ACAT2,A549,-0.001061476,1706,8248,0,1
BRAF,RAF1,A549,-0.000723527,1980,988,0,1
BRD3,BRD4,A549,0.003413477,3857,9008,0,1
BUB3,RAE1,A549,0.000105566,5594,7436,0,1
CALM2,CALM3,A549,-0.041437632,1968,941,0,1
CALM2,CALML3,A549,0.007640598,1968,409,0,1
CALM2,CALML4,A549,-0.00592808,1968,58434,0,1
CALM2,CALML5,A549,-0.00448547,1968,4374,0,1
CALM2,TNNC1,A549,0.003126411,1968,2155,0,1
CALM2,TNNC2,A549,0.009386275,1968,11612,0,1
CALM3,CALML3,A549,0.001833812,941,409,0,1
CALM3,CALML4,A549,0.005209316,941,58434,0,1
CALM3,CALML5,A549,-0.003780167,941,4374,0,1
CALM3,TNNC1,A549,0.007083403,941,2155,0,1
CALM3,TNNC2,A549,0.008166013,941,11612,0,1
CAMK1D,CAMK1G,A549,-0.005083691,8279,2640,0,1
CAMKK1,CAMKK2,A549,-2.25e-05,12162,12491,0,1
CAPN1,CAPN2,A549,0.002439959,2491,8357,0,1
GCA,PDCD6,A549,-0.011015387,8051,6497,0,1
GCA,PEF1,A549,0.00534002,8051,56553,0,1
PDCD6,PEF1,A549,0.005039262,6497,56553,0,1
CARD10,CARD11,A549,0.000371801,1792,34610,0,1
CARD11,CARD9,A549,-0.000370312,34610,3460,0,1
CARD16,CARD18,A549,-0.001221885,56902,34874,0,1
CASP1,CASP4,A549,0.000656269,2786,11086,0,1
CASP1,CASP5,A549,0.000597684,2786,2910,0,1
CASP4,CASP5,A549,0.001170697,11086,2910,0,1
CASP14,CASP3,A549,0.004239053,6539,2712,0,1
CASP3,CASP6,A549,-0.005646705,2712,2444,0,1
CASP3,CASP7,A549,0.0046261,2712,6201,0,1
CASP3,CASP8,A549,-0.015966429,2712,116,0,1
CASP3,CASP9,A549,0.004552345,2712,5349,0,1
CASP6,CASP7,A549,0.00526832,2444,6201,0,1
CASP6,CASP8,A549,-0.002326012,2444,116,0,1
CCL15,CCL3,A549,0.0069268,56521,2243,0,1
CCL18,CCL3,A549,0.002510399,11206,2243,0,1
CCL3,CCL3L3,A549,0.012509827,2243,57500,0,1
CCL13,CCL8,A549,0.001084469,7639,10565,0,1
CCL24,CCL8,A549,0.000710505,21984,10565,0,1
CCL7,CCL8,A549,-0.002733383,7353,10565,0,1
CCNB1,CCNB2,A549,3.17e-05,38,5918,0,1
CCND2,CCND3,A549,0.007295785,4435,3687,0,1
ACHE,BCHE,A549,0.006516521,8038,341,0,1
CCNE1,CCNE2,A549,-3.42e-05,406,8662,0,1
CCT6A,CCT6B,A549,-2.52e-05,739,6680,0,1
CDC20,CDC20B,A549,-0.002944342,836,9642,0,1
CDC20,FZR1,A549,0.003250073,836,2364,0,1
CDC25A,CDC25B,A549,-0.008639374,6823,336,0,1
CDC25A,CDC25C,A549,0.005720117,6823,2994,0,1
CDC25B,CDC25C,A549,0.003738726,336,2994,0,1
CDC42,RAC1,A549,-0.002199571,1237,431,0,1
RAC1,RAC2,A549,0.004396402,431,5465,0,1
ROCK1,ROCK2,A549,-0.015986264,290,5231,0,1
CDK1,CDK2,A549,-0.004602923,530,40,0,1
CDK1,CDK3,A549,-0.00055981,530,4001,0,1
CDK1,CDK4,A549,-0.006367024,530,332,0,1
CDK1,CDK6,A549,0.017673972,530,802,0,1
CDK2,CDK3,A549,0.002391,40,4001,0,1
CDK2,CDK4,A549,0.007485517,40,332,0,1
CDK2,CDK6,A549,0.01149325,40,802,0,1
CDK3,CDK4,A549,-0.001654451,4001,332,0,1
CDK3,CDK6,A549,0.004359132,4001,802,0,1
CDK4,CDK6,A549,-0.02403925,332,802,0,1
CDK10,CDK11A,A549,0.007921004,3258,10913,0,1
CDK10,CDK11B,A549,-0.00503865,3258,3486,0,1
CDK11A,CDK11B,A549,-0.002885294,10913,3486,0,1
CDK12,CDK9,A549,-0.004312441,11472,1034,0,1
CDK14,CDK15,A549,0.001120185,5096,5347,0,1
CFD,CTSG,A549,0.003102673,9094,2101,0,1
CFD,GZMA,A549,0.009268527,9094,4679,0,1
CFD,GZMB,A549,0.003163209,9094,2426,0,1
CFD,GZMH,A549,0.002041324,9094,10296,0,1
